DATE,UofM_Consumer_Confidence,Private_Housing_Starts,Jobless_Claims,Retail_Sales,SP500,Capacity_Utilization,ISM_New_Orders,OECD_Leading_Index,Chicago_PMI,ISM_PMI_weird_pred,Date_+_nine_month,Actual_ISM,Regression_ISM
1/1/00,112,1636,288400,243436,"1,425.59",82.1714,60.4,5426,56.7,49.9,9/1/00,56.3,49.9
2/1/00,111.3,1737,293750,247133,"1,388.87",82.1694,58.7,5426,59.3,48.3,10/1/00,56.9,48.3
3/1/00,107.1,1604,274750,249825,"1,442.21",82.2095,56.2,5426,57.2,47.7,11/1/00,55.8,47.7
4/1/00,109.2,1626,271600,245831,"1,461.36",82.4575,55.4,5426,56.3,43.7,12/1/00,54.9,43.7
5/1/00,110.7,1575,282250,246201,"1,418.48",82.4056,51.5,5426,55.6,41.2,1/1/01,53.2,41.2
6/1/00,106.4,1559,291000,248160,"1,461.96",82.192,50,5426,53.5,41.9,2/1/01,51.8,41.9
7/1/00,108.3,1463,295000,247176,"1,473.00",81.7778,52,5426,53.4,43.1,3/1/01,51.8,43.1
8/1/00,107.3,1541,312750,247576,"1,485.46",81.2898,50,5426,52.1,43.2,4/1/01,49.5,43.2
9/1/00,106.8,1507,300200,251837,"1,468.05",81.3435,48.9,5426,47.2,42.1,5/1/01,49.9,42.1
10/1/00,105.8,1549,301000,251221,"1,390.14",80.7922,48.4,5426,50.1,44.7,6/1/01,48.3,44.7
11/1/00,107.6,1551,334250,250331,"1,378.04",80.541,49.1,5426,48,43.6,7/1/01,47.7,43.6
12/1/00,98.4,1532,346000,250658,"1,330.93",80.0006,42.1,5722,43.7,47.9,8/1/01,43.7,47.9
1/1/01,94.7,1600,340000,252654,"1,335.63",79.3437,38.4,5303,45.3,47,9/1/01,41.2,47
2/1/01,90.6,1625,371250,252704,"1,305.75",78.571,39.9,5528,42.5,39.8,10/1/01,41.9,39.8
3/1/01,91.5,1590,387200,250328,"1,185.85",78.1158,41.5,5204,41.6,44.5,11/1/01,43.1,44.5
4/1/01,88.4,1649,396750,254763,"1,189.84",77.5972,45.5,5410,35.1,48.2,12/1/01,43.2,48.2
